address,in_degree,out_degree,total_degree,pagerank,betweenness,clustering,second_order_neighbors
0xd3268ffc7c2558eaac2fc7cb56850b4ca3d43ec5,1,0,1,0.007542992165964997,0.0,0,22
0xd326ff6bece6e75195b139471b35def2c4f13ec5,0,1,1,0.0016244399531804145,0.0,0,22
0x1134287b96e80eb320a66a491719c6213d6feb32,0,1,1,0.0016244399531804145,0.0,0,22
0x11344d1e5f68337afaf719c47da9ce4b6508eb32,0,1,1,0.0016244399531804145,0.0,0,22
0x3179c4d090105d84c16af3a8c3305c6d62c7c1ac,0,1,1,0.0016244399531804145,0.0,0,22
0x3179ba30beb62d9efe0ac95f342a4c674dd7c1ac,0,1,1,0.0016244399531804145,0.0,0,22
0x3173f8313410e9899df9fcf00962c82cbb9bc1ac,0,1,1,0.0016244399531804145,0.0,0,22
0x31792679912284713fbab994e51a40eedacdc1ac,1,0,1,0.007542992165964997,0.0,0,22
0x4bebba057cd836c0963730900f2022825f8194a1,0,1,1,0.0016244399531804145,0.0,0,22
0x838f5dfed4bc38a445ba9976f66a1af0f9511b3b,0,1,1,0.0016244399531804145,0.0,0,22
0x250e90618236e39b5295792e7abb0130e8c28009,0,1,1,0.0016244399531804145,0.0,0,22
0x1ec282bf56a27928967c01fee333b8de0547cf58,0,1,1,0.0016244399531804145,0.0,0,22
0xfe8b67f46f7725a830a891c1f05503a0ffba599b,0,1,1,0.0016244399531804145,0.0,0,22
0xb139a1a50145f3e0046e35629bad406bfe42f465,0,1,1,0.0016244399531804145,0.0,0,22
0x3762466632775c22428ec6ac13ba624e0be933bf,0,1,1,0.0016244399531804145,0.0,0,22
0x903c9a14f612fd4846747522c5b4f084d19d18e4,0,1,1,0.0016244399531804145,0.0,0,22
0x46340b20830761efd32832a74d7169b29feb9758,0,1,1,0.0016244399531804145,0.0,0,22
0x949f66cac4a627713aaee9f450fbb7e0265e9b5f,0,1,1,0.0016244399531804145,0.0,0,22
0xd0c9296fe411d3e0d31881b7e117443ce2805b04,0,1,1,0.0016244399531804145,0.0,0,22
0x77082631da7ef21e66a8fc43cc714acf3127fac5,0,1,1,0.0016244399531804145,0.0,0,22
0x83eb78d526e4b5e4623d9123f32f1c118fd1722c,7,9,16,0.011284511397718454,0.0003756932434850021,0,5
0x8e43733b077dfd5f69b168d4e7bebeb474a05762,1,0,1,0.0026904024352524575,0.0,0,15
0x88dcdd4a0a58b7e2208805d547043c37dca2b6dc,0,1,1,0.0016244399531804145,0.0,0,15
0xaa4bfcf9d36dc259cf132f972588ccad90418a16,1,0,1,0.0026904024352524575,0.0,0,15
0x23f4569002a5a07f0ecf688142eeb6bcd883eef8,0,1,1,0.0016244399531804145,0.0,0,15
0x54c8482c9c01c18b97848def92a1f3c3df359e97,1,0,1,0.0026904024352524575,0.0,0,15
0x4637ac1282a183dcc2e254543437fb6f95bf959e,0,1,1,0.0016244399531804145,0.0,0,15
0x0e83dc1928604de80ead6dcf8c1d982da89bfd16,1,0,1,0.0026904024352524575,0.0,0,15
